$id,InternationSecIN,Symbol,PrevClose,OpenPrice,DaysHigh,DaysLow,Volume,Value,MarketCap,SharesOutstanding,Dividend,Yield,Sector,SubSector,CompanyName,MarketClassification,DateListed,DateOfIncorporation,Website,Logourl,StockPricePercChange,StockPriceChange,StockPriceCur,CompanyProfileSummary,NatureofBusiness,CompanyAddress,Telephone,Fax,Email,CompanySecretary,Auditor,Registrars,BoardOfDirectors,ID,HIGH52WK_PRICE,HIGH52WK_DATETIME,LOW52WK_PRICE,LOW52WK_DATETIME,Symbol2,LS_STD,OFFICIAL_OPEN,OFFICIAL_CLOSE,LastUploadInfo,QuaterID,QuaterYear,TotalAssetsUnderManagement,imgPath,Address,Cable,PAddress,Telex
11,NGABCTRANS01,ABCTRANS,6.24,6.24,,,564913.0,3477553.26,14929959869.76,2392621774.0,,,SERVICES,Road Transportation,ASSOCIATED BUS COMPANY PLC,Main Board,2006-12-20T00:00:00,1993-04-05T00:00:00,www.abctransport.com,www.abctransport.com,0.0,0.0,6.24,,TRANSPORTATION BY ROAD,"KM 5 UMUOBA URATTA, MCC ROAD OWERRI, IMO STATE",046660750,083-231275,info@abctransport.com,,,,,3,9.97,2026-02-18T00:00:00,1.26,2025-04-10T00:00:00,ABCTRANS  ,",",,,,,,,,,,,
12,NGAUSTINLAZ9,AUSTINLAZ,4.43,4.43,,,580064.0,2342407.98,4783779800.0,1079860000.0,,,INDUSTRIAL GOODS,Electronic and Electrical Prod,AUSTIN LAZ & COMPANY PLC,Main Board,,1982-07-13T00:00:00,,,0.0,0.0,4.43,,"Production, sales and marketing of ice block machines and coolers",,,,,Ifeanyi Ofor &amp; co,David Ugiagbe,First Registrar's,PAT UTOMI,12,5.94,2026-02-09T00:00:00,1.71,2025-04-30T00:00:00,AUSTINLAZ [RST] ,"[RST],",,,,,,,,,,,
13,NGAVAIF00001,AVAIF,1000000.0,1000000.0,,,,,4075000000.0,4075.0,,,CONSTRUCTION/REAL ESTATE,Infrastructure/Heavy Construct,AVA INFRASTRUCTURE FUND,Main Board,2014-09-15T00:00:00,2014-08-18T00:00:00,www.avacapitalgroup.com,www.avacapitalgroup.com,0.0,0.0,1000000.0,,,"1b, Professor Olagoke Olabisi Street Lekki, Lagos,",08039325007,,queen.nduka@avacapitalgroup.com,,,,,13,,,,,AVAIF  ,",",,,,,,,,,,,
14,NGGTASSURE05,MANSARD,15.9,15.9,15.0,15.0,483169.0,7379528.69,135000000000.0,9000000000.0,,,FINANCIAL SERVICES,"""Insurance Carriers, Brokers a",AXAMANSARD INSURANCE PLC,Main Board,2009-11-19T00:00:00,1989-06-23T00:00:00,www.axamansard.com,www.axamansard.com,-5.66,-0.9,15.0,,Life and Non-life Insurance,"Plot 1412, Ahmadu Bello Way, Victoria Island",012701560 ,,omowunmi.adewusi@axamansard.com,,,,,53,21.42,2025-08-14T00:00:00,7.5,2025-04-17T00:00:00,MANSARD  ,",",,,,,,,,,,,
15,NGBERGER0000,BERGER,75.9,75.9,,,41375.0,2835682.95,21997599627.3,289823447.0,,,INDUSTRIAL GOODS,Building Materials,BERGER PAINTS PLC,Main Board,,1959-09-01T00:00:00,www.bergerpaintsnig.com,www.bergerpaintsnig.com,0.0,0.0,75.9,,"Manufacturing of decorative, industrial automotive and marine paints, putty and allied products","102, Oba Akran Avenue, Ikeja Industrial Estate, Ikeja, Lagos",08102164586,,investors@bergerpaintnig.com; customercare@bergerpaintnig.com,"DLA Piper Africa, Nigeria (Olajide Oyewole LLP)",PKF Professional Services ,Meristem Registrars Limited,"Abi Ayida, Adekunle  Olowokande , Aisha Umar, Alaba  Fagun, Erejuwa Gbadebo, Ogechi Iheanacho",15,75.9,2026-03-23T00:00:00,19.6,2025-05-02T00:00:00,BERGER  ,",",,,,,,,,,,,
16,NGBETAGLAS04,BETAGLAS,498.5,498.5,,,578048.0,276708501.1,299083250400.0,599966400.0,,,INDUSTRIAL GOODS,Packaging/Containers,BETA GLASS PLC.,Main Board,1986-07-02T00:00:00,1974-06-02T00:00:00,www.frigoglass.com,www.frigoglass.com,0.0,0.0,498.5,,Manufacture and Sale of Glass Bottles and Glassware,"Iddo House, Iddo",23412806700,23412806701,info-nigeria@frigoglass.com,"DCSL Corporate Services Limited, Ms. Titi Talabi, Temidayo Olaofe Mrs",PricewaterhouseCoopers ,City Securities (Registrars) Limited.,,16,498.5,2026-02-18T00:00:00,109.8,2025-05-02T00:00:00,BETAGLAS  ,",",,,,,,,,,,,
17,NGBAPLC00002,BAPLC,6.25,6.25,,,,,62500000.0,10000000.0,,,ICT,Telecommunications Services,BRICLINKS AFRICA PLC,Growth Board,2021-02-05T00:00:00,2015-07-30T00:00:00,www.btel.com.ng,www.btel.com.ng,0.0,0.0,6.25,,Telecommunication Services,"77 Nelson Mandela Asokoro, Abuja.",+234(0)92922093,,connect@btel.com.ng,,,,Buhari  Mohammed ,14,,,,,BAPLC  ,",",,,,,,,,,,,
18,NGBUACEMENT3,BUACEMENT,326.7,326.7,,,161047.0,47640117.3,11063484471402.0,33864354060.0,,,INDUSTRIAL GOODS,Building Materials,BUA CEMENT PLC,Main Board,2020-01-09T00:00:00,2014-05-30T00:00:00,,,0.0,0.0,326.7,,Cement Manufacturing & Marketing,,,,,,,,,18,326.7,2026-03-17T00:00:00,83.7,2025-06-13T00:00:00,BUACEMENT  ,",",,,,,,,,,,,
19,NGBUAFOODS04,BUAFOODS,798.0,798.0,,,128739.0,98801451.0,14364000000000.0,18000000000.0,,,CONSUMER GOODS,Food Products,BUA FOODS PLC,Main Board,2022-01-05T00:00:00,2005-04-13T00:00:00,www.buafoodsplc.com,www.buafoodsplc.com,0.0,0.0,798.0,,"Manufacturing, processing, and distribution of food products","PC 32, Churchgate Street, Victoria Island, Lagos",234 1 461 0669,0292004753C7N5UD2H36,info@buafoodsplc.com,,,,,19,845.0,2026-02-17T00:00:00,432.1,2025-06-26T00:00:00,BUAFOODS  ,",",,,,,,,,,,,
20,NGCILEASING2,CILEASING,6.6,6.6,,,539575.0,3645918.35,19460607837.0,2948576945.0,,,SERVICES,Support and Logistics,C & I LEASING PLC.,Main Board,1997-12-01T00:00:00,1990-12-28T00:00:00,www.c-ileasing.com,www.c-ileasing.com,0.0,0.0,6.6,,Equipment Leasing/Rentals and Providing Ancillary Logistics Support Services to Companies,"Leasing House, 2 C & I Leasing Drive,Off Bisola Durosimi Etti Drive, Off Admiralty Way, Lekki Phase 1, Lagos",09062979243,0292002188G7K0UI6H93,info@c-ileasing.com,"MBANUGO UDENZE &amp; CO. Barristers, Solicitors &amp; Notary Public",Ernst &amp; Young,,"Florence Okoli, Oluyemi Abaolu-Johnson, Sadiq Adamu, Tom Achoda, Ugoji Ugoji",28,9.64,2025-07-14T00:00:00,3.16,2025-04-23T00:00:00,CILEASING [MRF] ,"[MRF],",,,,,,,,,,,
21,NGCADBURY001,CADBURY,75.25,75.25,72.0,72.0,1206207.0,84435690.3,164180492568.0,2280284619.0,,,CONSUMER GOODS,Food Products--Diversified,CADBURY NIGERIA PLC.,Main Board,,1965-01-09T00:00:00,www.cadburynigeria.com,www.cadburynigeria.com,-4.32,-3.25,72.0,,"Manufacturing and Marketing of Foods, Food Drinks, Confectionery and Domestic Products",LATEEF JAKANDE ROAD AGIDINGBI IKEJA,23412717777,,cadburynigeria@mdlz.com,,,,,20,75.25,2026-04-07T00:00:00,22.0,2025-04-17T00:00:00,CADBURY  ,",",,,,,,,,,,,
22,NGCAP0000009,CAP,99.8,99.8,,,339794.0,32129640.2,81311800500.0,814747500.0,,,INDUSTRIAL GOODS,Building Materials,CAP PLC,Main Board,1978-05-24T00:00:00,1965-09-21T00:00:00,https://www.capplc.com/,https://www.capplc.com/,0.0,0.0,99.8,,"Manufacture, marketing of paints and sales of fire estinguishing products","2, Adeniyi Jones Ikeja Lagos", 08159493070,,anwokediuko@capplc.com,"Aramide Nwokediuko, Ayomipo Wey, MRS ROSE HAMIS",KPMG Professional Services ,Africa Prudential Plc," Kayode Garrick , Awuneba Ajumogobia , David Wright , Muhibat Abbas , Udo Okonjo , Vitus Ezinwa",21,109.0,2026-02-12T00:00:00,40.0,2025-04-25T00:00:00,CAP  ,",",,,,,,,,,,,
23,NGCAVERTON07,CAVERTON,6.0,5.95,6.0,5.95,705714.0,4234463.55,20103058500.0,3350509750.0,,,SERVICES,Support and Logistics,CAVERTON OFFSHORE SUPPORT GRP PLC,Main Board,2014-02-06T00:00:00,2008-06-02T00:00:00,www.caverton-offshore.com,www.caverton-offshore.com,-0.83,0.0,6.0,,Marine & Aviation,"1 Prince Kayode Akingbade Close, Victoria Island, Lagos",23412705656,23414617645,info@caverton-offshore.com,,,,,22,8.98,2025-07-31T00:00:00,2.04,2025-04-08T00:00:00,CAVERTON [MRF] ,"[MRF],",5.95,,,,,,,,,,
24,NGCHAMPION00,CHAMPION,14.75,14.75,14.65,14.5,1137011.0,16651473.95,129745940434.0,8947995892.0,,,CONSUMER GOODS,Beverages--Brewers/Distillers,CHAMPION BREW. PLC.,Main Board,1983-09-01T00:00:00,1974-07-31T00:00:00,www. championbreweries.com,www. championbreweries.com,-1.69,-0.25,14.5,,"Brewing, Bottling and Selling of beer and non-alcoholic drinks","Industrial Layout, Aka Offot, Uyo, Akwa Ibom State, Nigeria.",080722909423,CHAMPION BREWERIES PLC,info@championbreweries.com,Tosan Atle Aiboni,Deloitte &amp; Touche,,"David Butler, Ehimare Idiahi, Imo-Abasi Jacob, Inalegwu  Adoga, Oladele Ajayi, Olufunminiyi Alabi, Rasheed Adebiyi, Samson Aigbedo, Shuaibu Ottan, Thompson  Owoka",23,21.49,2025-08-21T00:00:00,3.75,2025-04-07T00:00:00,CHAMPION  ,",",,,,,,,,,,,
25,NGCHAMS00001,CHAMS,3.38,3.38,3.65,3.05,47514291.0,154551922.56,27540000000.0,9000000000.0,,,ICT,Processing Systems,CHAMS HOLDING COMPANY PLC,Main Board,,1985-09-10T00:00:00,WWW.CHAMSPLC.COM,WWW.CHAMSPLC.COM,-9.47,-0.32,3.06,,Intelligent Business Solutions,"8 LOUIS SOLOMON CLOSE, VICTORIA ISLAND,LAGOS",2347389314,029200562G0K0C6A5A70,INFO@CHAMS.COM,,,,,24,5.45,2026-01-23T00:00:00,1.85,2025-04-08T00:00:00,CHAMS  ,",",3.38,,,,,,,,,,
26,NGCHDNIDF005,NIDF,126.0,126.0,,,176116.0,22297716.2,150778456542.0,1196654417.0,,,CONSTRUCTION/REAL ESTATE,Infrastructure/Heavy Construct,CHAPEL HILL DENHAM NIG. INFRAS DEBT FUND,Main Board,2023-10-05T00:00:00,2017-02-07T00:00:00,www.chapelhilldenham.com,www.chapelhilldenham.com,0.0,0.0,126.0,,Infrastructure Funding,"10, Bankole Oki Street, Ikoyi Lagos",0802 242 7744 ,,aoyeneyin@chapelhilldenham.com,,PricewaterhouseCoopers Limited (PWC),,,25,126.0,2026-03-05T00:00:00,113.0,2025-07-10T00:00:00,NIDF  ,",",,,,,,,,,,,
27,NGCHELLARAM5,CHELLARAM,13.2,13.2,,,20538.0,254060.7,9542610000.0,722925000.0,,,CONGLOMERATES,Diversified Industries,CHELLARAMS PLC.,Growth Board,1977-04-01T00:00:00,1947-08-13T00:00:00,www.chellaramsplc.com,www.chellaramsplc.com,0.0,0.0,13.2,,"Distributive Trade and Manufacturing, Assembly of Motorcycles, Tricycles and Bicycles, Manufacturing fo Real Milk and Packaging Materials, Large Scale Farming & Retail of Wears and Apparels and KFC Franchise","PLOT 110/114, OSHODI-APAPA EXPRESSWAY, ISOLO, LAGOS",017733838 ,012793737,info@chellaramsplc.com,,,,,27,16.25,2025-09-24T00:00:00,7.89,2025-04-22T00:00:00,CHELLARAM  ,",",,,,,,,,,,,
28,NGCONOIL0003,CONOIL,204.4,204.4,,,44549.0,8423350.4,141843812714.8,693952117.0,,,OIL AND GAS,Petroleum and Petroleum Produc,CONOIL PLC,Main Board,,1970-06-30T00:00:00,www.conoilplc.com,www.conoilplc.com,0.0,0.0,204.4,,Marketing of Refined Petroleum Products. Manufacturing and Marketing of Lubricants,38 / 39 Marina Lagos,019032991,,info@conoilplc.com,,,Meristem Registrars Limited,,31,298.1,2025-05-30T00:00:00,169.0,2026-01-08T00:00:00,CONOIL [MRF] ,"[MRF],",,,,,,,,,,,
29,NGCONHALLPL3,CONHALLPLC,4.53,4.53,4.8,4.56,1784854.0,8436968.13,52032000000.0,10840000000.0,,,FINANCIAL SERVICES,"""Insurance Carriers, Brokers a",CONSOLIDATED HALLMARK HOLDINGS PLC,Main Board,2023-11-27T00:00:00,1991-08-02T00:00:00,  www.chiplc.com,  www.chiplc.com,5.96,0.27,4.8,,Investments,"266, Ikorodu Road, Obanikoro Lagos",234 1 291 2543,,  info@chiplcc.com,,,,,30,6.19,2025-08-14T00:00:00,2.55,2025-04-08T00:00:00,CONHALLPLC  ,",",,,,,,,,,,,
30,NGCORNERST03,CORNERST,5.66,5.66,,,111931.0,617080.04,102821782823.5,18166392725.0,,,FINANCIAL SERVICES,"""Insurance Carriers, Brokers a",CORNERSTONE INSURANCE PLC,Main Board,,1991-07-26T00:00:00,www.cornerstone.com.ng,www.cornerstone.com.ng,0.0,0.0,5.66,,"General Business, Special Risks and Life and Pensions","21 Water Corporation Drive, Off Ligali Ayorinde Street, Victoria Island, Lagos",012806500,,enquiries@cornerstone.com.ng,,,,,32,9.37,2025-08-14T00:00:00,2.35,2025-04-22T00:00:00,CORNERST [MRF] ,"[MRF],",,,,,,,,,,,
31,NGCNIF000007,CNIF,110.0,110.0,,,1742.0,210682.0,9669000000.0,87900000.0,,,CONSTRUCTION/REAL ESTATE,Infrastructure/Heavy Construct,CORONATION INFRASTRUCTURE FUND,Main Board,2025-08-25T00:00:00,2025-04-09T00:00:00,www.coronation.com,www.coronation.com,0.0,0.0,110.0,,INFRASTRUCTURE FUNDING,"10 AMODU OJIKUTU STREET, VICTORIA ISLAND LAGOS",08065351993,,oidowu@coronation.com,,,,,29,110.0,2026-02-05T00:00:00,110.0,2026-02-05T00:00:00,CNIF  ,",",,,,,,,,,,,
32,NGWAPIC00004,WAPIC,2.89,2.89,2.97,2.88,1150543.0,3353795.39,71255288132.82,23991679506.0,,,FINANCIAL SERVICES,"""Insurance Carriers, Brokers a",CORONATION INSURANCE PLC,Main Board,1990-08-31T00:00:00,1958-03-14T00:00:00,www.coronationinsurance.com.ng,www.coronationinsurance.com.ng,2.77,0.08,2.97,,General Insurance Underwriter,"119, Awolowo Road, Ikoyi, Lagos ",07098821284,,"info@coronationinsurance,com.ng",,,,,149,4.91,2025-08-14T00:00:00,1.77,2025-04-08T00:00:00,WAPIC  ,",",,,,,,,,,,,
33,NGCUSTODYIN6,CUSTODIAN,73.0,73.0,,,464464.0,33339084.2,429376086235.0,5881864195.0,,,CONGLOMERATES,Diversified Industries,CUSTODIAN INVESTMENT PLC,Main Board,,1991-08-22T00:00:00,www.custodianplc.com.ng,www.custodianplc.com.ng,0.0,0.0,73.0,,"Investment Holding Company having interest in Life Insurance, General Insurance, Pensions, Trustees, Property and Financial Services","16A, COMMERCIAL AVENUE, SABO, YABA, LAGOS STATE, NIGERIA.",234012774000,,carecentre@custodianinsurance.com,,,,,33,81.9,2026-03-06T00:00:00,16.8,2025-04-16T00:00:00,CUSTODIAN  ,",",,,,,,,,,,,
34,NGCUTIX00002,CUTIX,3.25,3.25,3.25,3.01,5799657.0,18358891.02,21840393122.4,7045288104.0,,,INDUSTRIAL GOODS,Electronic and Electrical Prod,CUTIX PLC.,Main Board,1987-08-12T00:00:00,1982-11-04T00:00:00,www.cutixplc.com.ng,www.cutixplc.com.ng,-4.62,-0.15,3.1,,"Manufacturing and Marketing of Electrical , Automobile and Telecommunication Wires, Cables, and Related Products","17, Osita Onyejianya Street, Umuanuka, Otolo, Nnewi, Anambra State",07077676353,,secretariat@cutixplc.com.ng,,,,,34,5.1,2025-07-11T00:00:00,2.1,2025-04-11T00:00:00,CUTIX  ,",",,,,,,,,,,,
35,NGCWG0000002,CWG,19.2,19.2,21.05,19.9,1681512.0,34864237.85,53147594856.95,2524826359.0,,,ICT,IT Services,CWG PLC,Main Board,,1991-09-26T00:00:00,www.cwg-plc.com,www.cwg-plc.com,9.64,1.85,21.05,,IT Services (Information Technology Services),"Block 54, Plot 10, off Rufus Giwa Street, off Adebayo Doherty Road, Lekki Phase 1, Lagos",012706065,012705998,info@cwg-plc.com,,,,,35,25.25,2026-02-06T00:00:00,7.2,2025-04-23T00:00:00,CWG  ,",",,,,,,,,,,,
36,NGDAARCOMM01,DAARCOMM,1.72,1.72,1.65,1.55,16476727.0,25955189.78,13200000000.0,8000000000.0,,,SERVICES,Media/Entertainment,DAAR COMMUNICATIONS PLC,Main Board,,1988-08-31T00:00:00,,,-4.07,-0.07,1.65,,"Broadcasting, Multimedia and Allied Services",,,,,,,,,36,3.0,2026-02-13T00:00:00,0.54,2025-05-02T00:00:00,DAARCOMM  ,",",,1.65,,,,,,,,,
37,NGDANGCEM008,DANGCEM,810.0,810.0,,,642272.0,517959942.1,13667582993310.0,16873559251.0,,,INDUSTRIAL GOODS,Building Materials,DANGOTE CEMENT PLC,Premium Board,2010-10-26T00:00:00,1992-11-04T00:00:00,www.dangotecement.com,www.dangotecement.com,0.0,0.0,810.0,,Production and Sale of Cement,"Marble House, 1 Alfred Rewane Road, Ikoyi, Lagos State",+234 1 450 643,,customercare@dangote.com,"Edward Imoedemhe, Mahmud Kazaure",KPMG,,"Abdu Dantata , Aliko Dangote , Alvaro Poncioni Merian, Arvind Pathak, Berlina Moroole, Cherie  Blair (KC), Devakumar V. G. Edwin , Dorothy Ufot (SAN) , Douraid Zaghouani  , Emmanuel Ikazoboh , Ernest Ebi , Halima  Dangote , Olakunle Alake , Viswanathan Shankar  ",37,829.5,2026-02-24T00:00:00,425.0,2025-07-01T00:00:00,DANGCEM  ,",",,,,,,,,,,,
38,NGDANSUGAR02,DANGSUGAR,66.0,66.0,65.0,65.0,1652647.0,109027863.85,789547085665.0,12146878241.0,,,CONSUMER GOODS,Food Products,DANGOTE SUGAR REFINERY PLC,Main Board,2007-03-08T00:00:00,2005-01-04T00:00:00,,,-1.52,-1.0,65.0,,Refinery Raw Sugar into Edible Sugar and Sale of Refined Sugar,,,,,Temitope Hassan,,,,38,88.0,2026-02-16T00:00:00,31.1,2025-04-08T00:00:00,DANGSUGAR  ,",",,,,,,,,,,,
39,NGDEAPCAP009,DEAPCAP,5.99,5.99,5.5,5.4,1909645.0,10602098.58,8103564000.0,1500660000.0,,,FINANCIAL SERVICES,Other Financial Institutions,DEAP CAPITAL MANAGEMENT & TRUST PLC,Main Board,2007-12-17T00:00:00,2002-06-05T00:00:00,,,-9.85,-0.59,5.4,,"BANKING Company specialising in Funds Management, Capital Maket Operations, Financial Advisory Services Portfolio Management, Leasing and Issuing House Services",,,,,,,,,39,11.47,2026-01-30T00:00:00,0.81,2025-06-16T00:00:00,DEAPCAP [DWL] ,"[DWL],",,,,,,,,,,,
40,NGDUNLOP0005,DUNLOP,0.2,0.2,,,,,954533842.4,4772669212.0,,,CONSUMER GOODS,Automobiles/Auto Parts,DN TYRE & RUBBER PLC,Main Board,,1961-10-21T00:00:00,http://www.dntyreandrubberplc.com,http://www.dntyreandrubberplc.com,0.0,0.0,0.2,,Marketing of Automobile,"Plot 23 Oba Akran Avenue, Ikeja, Lagos",012715997,,info@dntyreandrubberplc.com,,,,,40,,,,,DUNLOP [DIP] ,"[DIP],",,,,,,,,,,,
41,NGETRANZ0005,ETRANZACT,20.5,20.5,,,555801.0,11812589.25,188599996228.0,9199999816.0,,,ICT,Processing Systems,E-TRANZACT INTERNATIONAL PLC,Main Board,2009-08-07T00:00:00,2003-05-07T00:00:00,www.etranzact.com,www.etranzact.com,0.0,0.0,20.5,,Remote real-time settlement of transactions using multi channel electronic payment system.,"4th & 5th Floor, Fortune Towers, 27/29, Adeyemo Alakija Street, Victoria Island, Lagos",017101060 ,,info-ng@etranzact.com,,,,,45,26.9,2026-02-13T00:00:00,5.4,2025-05-12T00:00:00,ETRANZACT  ,",",,,,,,,,,,,
